Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Singapore,GDP Constant Prices,1985-03-31T00:00:00,16629.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1985-06-30T00:00:00,16175.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1985-09-30T00:00:00,15993.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1985-12-31T00:00:00,15822.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1986-03-31T00:00:00,15974.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1986-06-30T00:00:00,16182.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1986-09-30T00:00:00,16439.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1986-12-31T00:00:00,16861.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1987-03-31T00:00:00,17272.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1987-06-30T00:00:00,17821.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1987-09-30T00:00:00,18443.7,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1987-12-31T00:00:00,18979.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1988-03-31T00:00:00,19191.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1988-06-30T00:00:00,19965.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1988-09-30T00:00:00,20501.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1988-12-31T00:00:00,21037.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1989-03-31T00:00:00,21064,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1989-06-30T00:00:00,22263.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1989-09-30T00:00:00,22526.1,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1989-12-31T00:00:00,23039.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1990-03-31T00:00:00,23989,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1990-06-30T00:00:00,24235.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1990-09-30T00:00:00,24513.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1990-12-31T00:00:00,24903.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1991-03-31T00:00:00,25499.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1991-06-30T00:00:00,25857.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1991-09-30T00:00:00,26287.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1991-12-31T00:00:00,26497.7,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1992-03-31T00:00:00,26961,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1992-06-30T00:00:00,27282.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1992-09-30T00:00:00,28024.7,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1992-12-31T00:00:00,28769.1,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1993-03-31T00:00:00,29405.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1993-06-30T00:00:00,30672.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1993-09-30T00:00:00,31221.1,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1993-12-31T00:00:00,32444.1,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1994-03-31T00:00:00,33435.5,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,1994-06-30T00:00:00,33824.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
